  491 detector / GWA
    n  xForwardCoefficients_det   yForwardCoefficients_det   xBackwardCoefficients_det  yBackwardCoefficients_det
    0 -1.320554648624084e-001  2.290731134762710e-001  2.222070489653086e+003 -3.465091947773596e+003
    1 -9.918405724228534e-007  6.471835198811071e-005 -1.497430464950980e+003  1.287564201547247e+004
    2 -2.634400814979525e-010  9.815378059714713e-010  7.933947897743875e+003  2.512863477138894e+004
    3  4.147213876717067e-014  1.600518584188222e-013 -2.287928740414107e+004 -9.225074164862605e+004
    4 -1.252461902531326e-017 -4.421922179068854e-017  3.250083392770687e+004  1.428974949840809e+005
    5  7.713262510755935e-022  6.115806980632052e-021 -1.770047234352843e+004 -8.750918124021510e+004
    6  6.367949054821027e-005 -1.500336774583611e-006  1.635818399086590e+004  1.834109334670109e+002
    7  7.313131459399182e-010 -3.509139145257552e-010  3.861046122376017e+002 -8.299600677467477e+002
    8  8.881958516831574e-014  1.439184934684355e-014 -1.109193929358693e+004  4.354038657581776e+003
    9  5.764477838035823e-019  8.488691257995751e-018  1.194262149355233e+004 -1.047620861012858e+004
   10  1.860119724245774e-022 -1.143267211541549e-021 -5.274126013292464e+003  9.316166699678772e+003
   11 -4.891707826823695e-010  2.501687898152264e-010 -1.632595577635034e+002  9.286400834050820e+002
   12  1.403707309874716e-014  5.774209976789382e-014  1.879179122156735e+003 -1.162425269870831e+004
   13  2.209258242980694e-018 -4.812225083575972e-018 -6.920238192006998e+003  1.499556360226312e+004
   14 -5.097481876731183e-022 -9.546042154141608e-022  8.178770104666818e+003 -1.763816626009319e+003
   15  3.349178034813999e-014 -8.042504696349799e-015 -8.780266542313395e+003  8.200911346924916e+002
   16 -1.715306156227624e-018  1.157812562306925e-017  9.663701491479129e+003 -6.849771664822638e+003
   17 -2.005965899970626e-022  3.773064792190795e-023  1.438685208038810e+003  1.215617626178258e+004
   18  1.525766652077818e-017  2.586952869904067e-018 -5.971505998445277e+003 -2.153983556099294e+003
   19  2.892234638553365e-024 -1.411176065410136e-021  1.484771480035674e+004  1.787508895929367e+004
   20 -1.423149195851238e-021 -2.835245499568019e-022  2.117192232068781e+004  6.923621955627395e+003
